sample_id,class,video_path,fps,frame_count,width,height,duration
02181_H_A_N_C1,N/N,../data/train/raw/video/N/N/02181_H_A_N_C1/02181_H_A_N_C1.mp4,10.0,100,1280,720,10.0
02117_H_A_N_C6,N/N,../data/train/raw/video/N/N/02117_H_A_N_C6/02117_H_A_N_C6.mp4,10.0,100,1280,720,10.0
02497_H_A_N_C5,N/N,../data/train/raw/video/N/N/02497_H_A_N_C5/02497_H_A_N_C5.mp4,10.0,100,1280,720,10.0
02604_H_A_N_C2,N/N,../data/train/raw/video/N/N/02604_H_A_N_C2/02604_H_A_N_C2.mp4,10.0,100,1280,720,10.0
00322_H_A_N_C3,N/N,../data/train/raw/video/N/N/00322_H_A_N_C3/00322_H_A_N_C3.mp4,10.0,100,1280,720,10.0
02413_H_A_N_C1,N/N,../data/train/raw/video/N/N/02413_H_A_N_C1/02413_H_A_N_C1.mp4,10.0,100,1280,720,10.0
00454_H_A_N_C8,N/N,../data/train/raw/video/N/N/00454_H_A_N_C8/00454_H_A_N_C8.mp4,10.0,100,1280,720,10.0
00052_H_A_N_C7,N/N,../data/train/raw/video/N/N/00052_H_A_N_C7/00052_H_A_N_C7.mp4,10.0,100,1280,720,10.0
02018_H_A_N_C5,N/N,../data/train/raw/video/N/N/02018_H_A_N_C5/02018_H_A_N_C5.mp4,10.0,100,1280,720,10.0
02069_H_A_N_C7,N/N,../data/train/raw/video/N/N/02069_H_A_N_C7/02069_H_A_N_C7.mp4,10.0,100,1280,720,10.0
02573_H_D_N_C6,N/N,../data/train/raw/video/N/N/02573_H_D_N_C6/02573_H_D_N_C6.mp4,10.0,100,1280,720,10.0
02093_H_A_N_C2,N/N,../data/train/raw/video/N/N/02093_H_A_N_C2/02093_H_A_N_C2.mp4,10.0,100,1280,720,10.0
00347_H_A_N_C3,N/N,../data/train/raw/video/N/N/00347_H_A_N_C3/00347_H_A_N_C3.mp4,10.0,100,1280,720,10.0
02498_H_A_N_C2,N/N,../data/train/raw/video/N/N/02498_H_A_N_C2/02498_H_A_N_C2.mp4,10.0,100,1280,720,10.0
00595_H_D_N_C8,N/N,../data/train/raw/video/N/N/00595_H_D_N_C8/00595_H_D_N_C8.mp4,10.0,100,1280,720,10.0
00538_H_D_N_C3,N/N,../data/train/raw/video/N/N/00538_H_D_N_C3/00538_H_D_N_C3.mp4,10.0,100,1280,720,10.0
00517_H_D_N_C3,N/N,../data/train/raw/video/N/N/00517_H_D_N_C3/00517_H_D_N_C3.mp4,10.0,100,1280,720,10.0
02320_H_A_N_C7,N/N,../data/train/raw/video/N/N/02320_H_A_N_C7/02320_H_A_N_C7.mp4,10.0,100,1280,720,10.0
02625_H_A_N_C2,N/N,../data/train/raw/video/N/N/02625_H_A_N_C2/02625_H_A_N_C2.mp4,10.0,100,1280,720,10.0
00020_H_A_N_C8,N/N,../data/train/raw/video/N/N/00020_H_A_N_C8/00020_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02165_H_A_N_C6,N/N,../data/train/raw/video/N/N/02165_H_A_N_C6/02165_H_A_N_C6.mp4,10.0,100,1280,720,10.0
02612_H_A_N_C4,N/N,../data/train/raw/video/N/N/02612_H_A_N_C4/02612_H_A_N_C4.mp4,10.0,100,1280,720,10.0
02497_H_A_N_C3,N/N,../data/train/raw/video/N/N/02497_H_A_N_C3/02497_H_A_N_C3.mp4,10.0,100,1280,720,10.0
02097_H_A_N_C8,N/N,../data/train/raw/video/N/N/02097_H_A_N_C8/02097_H_A_N_C8.mp4,10.0,100,1280,720,10.0
00030_H_A_N_C4,N/N,../data/train/raw/video/N/N/00030_H_A_N_C4/00030_H_A_N_C4.mp4,10.0,100,1280,720,10.0
02161_H_A_N_C1,N/N,../data/train/raw/video/N/N/02161_H_A_N_C1/02161_H_A_N_C1.mp4,10.0,100,1280,720,10.0
00569_H_D_N_C1,N/N,../data/train/raw/video/N/N/00569_H_D_N_C1/00569_H_D_N_C1.mp4,10.0,100,1280,720,10.0
02619_H_A_N_C5,N/N,../data/train/raw/video/N/N/02619_H_A_N_C5/02619_H_A_N_C5.mp4,10.0,100,1280,720,10.0
02518_H_A_N_C4,N/N,../data/train/raw/video/N/N/02518_H_A_N_C4/02518_H_A_N_C4.mp4,10.0,100,1280,720,10.0
02448_H_A_N_C8,N/N,../data/train/raw/video/N/N/02448_H_A_N_C8/02448_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02254_H_A_N_C5,N/N,../data/train/raw/video/N/N/02254_H_A_N_C5/02254_H_A_N_C5.mp4,10.0,100,1280,720,10.0
02616_H_A_N_C7,N/N,../data/train/raw/video/N/N/02616_H_A_N_C7/02616_H_A_N_C7.mp4,10.0,100,1280,720,10.0
00623_H_D_N_C4,N/N,../data/train/raw/video/N/N/00623_H_D_N_C4/00623_H_D_N_C4.mp4,10.0,100,1280,720,10.0
00220_H_D_N_C2,N/N,../data/train/raw/video/N/N/00220_H_D_N_C2/00220_H_D_N_C2.mp4,10.0,100,1280,720,10.0
02125_H_A_N_C6,N/N,../data/train/raw/video/N/N/02125_H_A_N_C6/02125_H_A_N_C6.mp4,10.0,100,1280,720,10.0
00030_H_A_N_C3,N/N,../data/train/raw/video/N/N/00030_H_A_N_C3/00030_H_A_N_C3.mp4,10.0,100,1280,720,10.0
02417_H_A_N_C6,N/N,../data/train/raw/video/N/N/02417_H_A_N_C6/02417_H_A_N_C6.mp4,10.0,100,1280,720,10.0
02234_H_A_N_C8,N/N,../data/train/raw/video/N/N/02234_H_A_N_C8/02234_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02014_H_A_N_C1,N/N,../data/train/raw/video/N/N/02014_H_A_N_C1/02014_H_A_N_C1.mp4,10.0,100,1280,720,10.0
02165_H_A_N_C5,N/N,../data/train/raw/video/N/N/02165_H_A_N_C5/02165_H_A_N_C5.mp4,10.0,100,1280,720,10.0
00057_H_A_N_C2,N/N,../data/train/raw/video/N/N/00057_H_A_N_C2/00057_H_A_N_C2.mp4,10.0,100,1280,720,10.0
02465_H_A_N_C4,N/N,../data/train/raw/video/N/N/02465_H_A_N_C4/02465_H_A_N_C4.mp4,10.0,100,1280,720,10.0
